2024-01-02 12:55:42.432 [info] (Client) Pylance async client (2023.12.1) started with python extension (2023.22.1)
2024-01-02 12:55:43.230 [info] [Info  - 12:55:43] (7012) Pylance language server 2023.12.1 (pyright a78e2b10) starting
2024-01-02 12:55:43.235 [info] [Info  - 12:55:43] (7012) Server root directory: /home/stickee/.vscode/extensions/ms-python.vscode-pylance-2023.12.1/dist
2024-01-02 12:55:43.235 [info] [Info  - 12:55:43] (7012) Starting service instance "blbsr"
2024-01-02 12:55:43.290 [info] [Info  - 12:55:43] (7012) Setting pythonPath for service "blbsr": "/mnt/Kynthos Development/blbsr/.venv/bin/python"
2024-01-02 12:55:43.290 [info] [Info  - 12:55:43] (7012) Setting environmentName for service "blbsr": "3.11.6 (.venv venv)"
2024-01-02 12:55:43.290 [info] [Info  - 12:55:43] (7012) Loading pyproject.toml file at /mnt/Kynthos Development/blbsr/pyproject.toml
2024-01-02 12:55:43.290 [info] [Info  - 12:55:43] (7012) Pyproject file "/mnt/Kynthos Development/blbsr/pyproject.toml" has no "[tool.pyright]" section.
2024-01-02 12:55:43.320 [info] [Info  - 12:55:43] (7012) Assuming Python version 3.11
2024-01-02 12:55:43.405 [info] [Info  - 12:55:43] (7012) Found 4 source files
2024-01-02 14:05:14.299 [info] [Info  - 14:05:14] (7012) Found 4 source files
2024-01-02 14:05:14.379 [info] [Info  - 14:05:14] (7012) Reloading configuration file at /mnt/Kynthos Development/blbsr/pyproject.toml
2024-01-02 14:05:14.379 [info] [Info  - 14:05:14] (7012) Setting pythonPath for service "blbsr": "/mnt/Kynthos Development/blbsr/.venv/bin/python"
2024-01-02 14:05:14.379 [info] [Info  - 14:05:14] (7012) Setting environmentName for service "blbsr": "3.11.6 (.venv venv)"
2024-01-02 14:05:14.390 [info] [Info  - 14:05:14] (7012) Found 4 source files
2024-01-02 14:07:33.131 [info] [Info  - 14:07:33] (7012) Setting pythonPath for service "blbsr": "/mnt/Kynthos Development/blbsr/.venv/bin/python"
2024-01-02 14:07:33.132 [info] [Info  - 14:07:33] (7012) Setting environmentName for service "blbsr": "/mnt/Kynthos Development/blbsr/.venv/bin/python"
2024-01-02 14:07:33.157 [info] [Info  - 14:07:33] (7012) Found 4 source files
2024-01-02 14:19:04.813 [info] [Info  - 14:19:04] (7012) Setting pythonPath for service "blbsr": "/mnt/Kynthos Development/blbsr/.venv/bin/python"
2024-01-02 14:19:04.813 [info] [Info  - 14:19:04] (7012) Setting environmentName for service "blbsr": "/mnt/Kynthos Development/blbsr/.venv/bin/python"
2024-01-02 14:19:04.837 [info] [Info  - 14:19:04] (7012) Found 4 source files
