2024-01-13 11:24:14.894 [info] Log level: Info
2024-01-13 11:24:14.894 [info] Validating found git in: "git"
2024-01-13 11:24:14.894 [info] Using git "2.43.0" from "git"
2024-01-13 11:24:14.894 [info] > git rev-parse --show-toplevel [5ms]
2024-01-13 11:24:14.895 [info] > git rev-parse --show-toplevel [1ms]
2024-01-13 11:24:14.899 [info] > git rev-parse --show-toplevel [0ms]
2024-01-13 11:24:14.904 [info] > git rev-parse --show-toplevel [1ms]
2024-01-13 11:24:14.911 [info] > git rev-parse --show-toplevel [3ms]
2024-01-13 11:24:14.969 [info] > git rev-parse --show-toplevel [54ms]
2024-01-13 11:24:15.010 [info] > git rev-parse --show-toplevel [10ms]
2024-01-13 11:24:15.027 [info] > git rev-parse --show-toplevel [2ms]
2024-01-13 11:24:15.041 [info] > git rev-parse --show-toplevel [1ms]
2024-01-13 11:24:15.046 [info] > git rev-parse --show-toplevel [1ms]
2024-01-13 11:24:15.050 [info] > git rev-parse --show-toplevel [1ms]
2024-01-13 11:24:15.057 [info] > git rev-parse --show-toplevel [1ms]
2024-01-13 11:24:16.508 [info] > git rev-parse --show-toplevel [8ms]
2024-01-13 11:24:16.514 [info] > git rev-parse --show-toplevel [1ms]
