2024-02-11 17:39:46.339 [info] Configuration changed
2024-02-11 17:39:46.372 [info] Configuration changed
2024-02-11 17:45:11.957 [info] Active editor: file:///mnt/Kynthos%20Development/blbsr/src/modules/NonConformance/pages/ManageNonConformancePage/ManageNonConformancePage.vue
2024-02-11 17:45:14.185 [info] /mnt/Kynthos Development/blbsr/src/modules/NonConformance/pages/ManageNonConformancePage/ManageNonConformancePage.vue closed
2024-02-11 17:45:29.452 [info] Active editor: file:///mnt/Kynthos%20Development/blbsr/src/modules/NonConformance/routes.ts
2024-02-11 17:57:10.469 [info] Active editor: file:///mnt/Kynthos%20Development/blbsr/src/modules/NonConformance/pages/ManageNonConformancePage/ManageNonConformancePage.vue
2024-02-11 17:57:29.253 [info] Active editor: file:///mnt/Kynthos%20Development/blbsr/src/modules/Task/views/MangeTasksView/MangeTasksView.vue
2024-02-11 17:57:46.964 [info] Active editor: file:///mnt/Kynthos%20Development/blbsr/src/modules/NonConformance/pages/ManageNonConformancePage/ManageNonConformancePage.vue
2024-02-11 17:58:39.411 [info] /mnt/Kynthos Development/blbsr/src/modules/NonConformance/pages/ManageNonConformancePage/ManageNonConformancePage.vue closed
2024-02-11 17:58:39.420 [info] Active editor: file:///mnt/Kynthos%20Development/blbsr/src/modules/Task/views/MangeTasksView/MangeTasksView.vue
2024-02-11 17:58:41.134 [info] /mnt/Kynthos Development/blbsr/src/modules/Task/views/MangeTasksView/MangeTasksView.vue closed
2024-02-11 17:58:41.142 [info] Active editor: file:///mnt/Kynthos%20Development/blbsr/src/modules/NonConformance/routes.ts
2024-02-11 18:00:41.126 [info] /mnt/Kynthos Development/blbsr/src/modules/NonConformance/routes.ts closed
2024-02-11 18:00:47.329 [info] Active editor: file:///mnt/Kynthos%20Development/blbsr/src/modules/NonConformance/routes.ts
2024-02-11 18:01:47.129 [info] /mnt/Kynthos Development/blbsr/src/modules/NonConformance/routes.ts closed
2024-02-11 18:01:47.146 [info] Active editor: file:///mnt/Kynthos%20Development/blbsr/src/modules/NonConformance/pages/ManageNonConformancesPage/ManageNonConformancePage.vue
2024-02-11 18:01:56.457 [info] /mnt/Kynthos Development/blbsr/src/modules/NonConformance/pages/ManageNonConformancesPage/ManageNonConformancePage.vue closed
2024-02-11 18:01:56.488 [info] Active editor: file:///mnt/Kynthos%20Development/blbsr/src/modules/NonConformance/pages/ManageNonConformancesPage/ManageNonConformancesPage.vue
2024-02-11 18:02:13.183 [info] /mnt/Kynthos Development/blbsr/src/modules/NonConformance/pages/ManageNonConformancesPage/ManageNonConformancesPage.vue closed
2024-02-11 18:02:18.148 [info] Active editor: file:///mnt/Kynthos%20Development/blbsr/src/modules/NonConformance/routes.ts
